challenge_id,category,subcategory,duration_days,difficulty,title_en,description_en,title_ar,description_ar,title_fr,description_fr
challenge-pride-apologise-03,nose,refusing_to_apologise,7,medium,7-Day Pride Detox,"For 7 days, actively look for moments to say: 'I was wrong' or 'I'm sorry.' Let your heart soften.",تخلص من الكبر لمدة 7 أيام,لمدة أسبوع، تخلص من الكبر والعناد.,Détox d'orgueil de 7 jours,"Pendant une semaine, éliminez l'orgueil et l'entêtement."
challenge-pride-praise-01,nose,seeking_praise,1,easy,Do It in Secret,"Today, do one good deed and actively hide it. No sharing. No reward but Allah.",افعلها في السر,اليوم، افعل شيئاً جيداً في السر لا يعرفه أحد غير الله.,Faites-le en secret,"Aujourd'hui, faites quelque chose de bien en secret que personne ne connaît sauf Allah."
challenge-pride-praise-02,nose,seeking_praise,3,medium,No Praise Check – 3 Days,Don't check social media or ask how people responded to your words or efforts.,فحص عدم المدح - 3 أيام,لمدة 3 أيام، تجنب طلب المدح أو الثناء.,Vérification sans éloge - 3 jours,"Pendant 3 jours, évitez de chercher des éloges ou des compliments."
challenge-pride-praise-03,nose,seeking_praise,14,hard,14-Day Fame Cleanse,"For two weeks, detach from the need for recognition. Be silent and unseen, for Allah alone.",تطهير الشهرة لمدة 14 يوماً,لمدة أسبوعين، تخلص من حب الشهرة والظهور.,Nettoyage de célébrité de 14 jours,"Pendant deux semaines, éliminez l'amour de la célébrité et de l'apparence."
challenge-pride-condescension-01,nose,condescension,1,easy,One Gesture of Equality,"Today, sit, eat, or walk with someone whom others usually overlook.",إيماءة مساواة واحدة,اليوم، أظهر إيماءة واحدة تؤكد المساواة مع شخص تعتبره 'أقل منك'.,Un geste d'égalité,"Aujourd'hui, montrez un geste qui affirme l'égalité avec quelqu'un que vous considérez comme 'inférieur'."
challenge-pride-condescension-02,nose,condescension,3,medium,3-Day Language Watch,Avoid all belittling words — even in tone or implication — for 3 days.,مراقبة اللغة لمدة 3 أيام,لمدة 3 أيام، راقب لغتك وتجنب الكلام المتعالي.,Surveillance du langage de 3 jours,"Pendant 3 jours, surveillez votre langage et évitez les paroles condescendantes."
challenge-pride-condescension-03,nose,condescension,7,medium,7-Day Respect Practice,Speak to everyone as if they were spiritually higher than you. Let it reshape your manner.,7 أيام من ممارسة الاحترام,لمدة أسبوع، تعامل مع الجميع باحترام وتواضع.,7 jours de pratique du respect,"Pendant une semaine, traitez tout le monde avec respect et humilité."
challenge-stomach-overeating-01,stomach,overeating,1,easy,Stop at Two-Thirds,"Today, stop eating when you feel satisfied — not full. Leave room for breath and barakah.",توقف عند الثلثين,اليوم، توقف عن الأكل عندما تشعر بالشبع — وليس الامتلاء. اترك مجالاً للنفس والبركة.,Arrêtez-vous aux deux tiers,"Aujourd'hui, arrêtez de manger quand vous vous sentez satisfait — pas rassasié. Laissez de la place pour le souffle et la barakah."
challenge-stomach-overeating-02,stomach,overeating,3,medium,Portion Mindfulness – 3 Days,Use smaller plates or take half your usual portion for the next three days.,وعي الحصص – 3 أيام,استخدم أطباقاً أصغر أو خذ نصف حصتك المعتادة للأيام الثلاثة القادمة.,Conscience des portions – 3 jours,Utilisez des assiettes plus petites ou prenez la moitié de votre portion habituelle pendant les trois prochains jours.
challenge-stomach-overeating-03,stomach,overeating,7,medium,7-Day Moderation Reset,Eat moderately and avoid second helpings for an entire week. Reflect daily.,إعادة تعيين الاعتدال لمدة 7 أيام,لمدة أسبوع، تدرب على الأكل المعتدل والمتوازن.,Réinitialisation de modération de 7 jours,"Pendant une semaine, pratiquez une alimentation modérée et équilibrée."
challenge-stomach-distracted-01,stomach,eating_while_distracted,1,easy,No Screens at Mealtime,"Today, eat one full meal without your phone, TV, or any distraction.",لا شاشات عند وقت الطعام,اليوم، تناول وجبة كاملة بدون هاتفك أو التلفزيون أو أي إلهاء.,Pas d'écrans à l'heure du repas,"Aujourd'hui, prenez un repas complet sans votre téléphone, TV ou toute distraction."
challenge-stomach-distracted-02,stomach,eating_while_distracted,3,medium,Mindful Meals – 3 Days,Eat with full attention for 3 days. Chew slowly. Reflect on where your food came from.,وجبات بوعي - 3 أيام,لمدة 3 أيام، كل كل وجبة بوعي وتركيز كامل.,Repas conscients - 3 jours,"Pendant 3 jours, mangez chaque repas avec conscience et concentration complète."
challenge-stomach-distracted-03,stomach,eating_while_distracted,7,medium,7 Days of Presence,Avoid all multitasking while eating for 7 days. Practise gratitude and mindfulness.,7 أيام من الحضور,لمدة أسبوع، كن حاضراً بالكامل أثناء الأكل.,7 jours de présence,"Pendant une semaine, soyez complètement présent pendant les repas."
challenge-stomach-halal-income-01,stomach,halal_income_neglect,1,easy,Ask Before You Eat,"Before buying food today, reflect on where your income came from.",اسأل قبل أن تأكل,قبل شراء الطعام اليوم، تأمل في مصدر دخلك.,Demandez avant de manger,"Avant d'acheter de la nourriture aujourd'hui, réfléchissez à l'origine de vos revenus."
challenge-stomach-halal-income-02,stomach,halal_income_neglect,3,medium,3-Day Halal Reflection,Track your meals for 3 days. Reflect on the earnings that provided them.,تأمل الحلال لمدة 3 أيام,لمدة 3 أيام، تأمل في مصدر رزقك وتأكد من حلاله.,Réflexion halal de 3 jours,"Pendant 3 jours, réfléchissez à la source de votre subsistance et assurez-vous qu'elle est halal."
challenge-stomach-halal-income-03,stomach,halal_income_neglect,7,medium,7-Day Rizq Purity Challenge,"For 7 days, ask Allah to purify your provision and reflect on earning halal before every meal.",تحدي طهارة الرزق لمدة 7 أيام,لمدة أسبوع، تأكد من أن رزقك طاهر وحلال.,Défi de pureté de subsistance de 7 jours,"Pendant une semaine, assurez-vous que votre subsistance est pure et halal."
challenge-stomach-doubtful-01,stomach,doubtful_ingredients,1,easy,Check the Label,"Today, read every label before you buy. Avoid anything doubtful.",تحقق من التسمية,اليوم، اقرأ كل تسمية قبل أن تشتري. تجنب أي شيء مشكوك فيه.,Vérifiez l'étiquette,"Aujourd'hui, lisez chaque étiquette avant d'acheter. Évitez tout ce qui est douteux."
challenge-stomach-doubtful-02,stomach,doubtful_ingredients,3,medium,Doubt-Free Eating – 3 Days,Eat only from sources you are fully confident are halal for the next 3 days.,أكل خالي من الشك - 3 أيام,لمدة 3 أيام، تجنب كل طعام مشكوك في حلاله.,Alimentation sans doute - 3 jours,"Pendant 3 jours, évitez tout aliment douteux quant à sa licéité."
challenge-stomach-doubtful-03,stomach,doubtful_ingredients,7,medium,7 Days of Zahid Eating,Simplicity over risk. Eat plainly and avoid any product you're unsure about.,7 أيام من الأكل الزاهد,لمدة أسبوع، كل فقط ما تتيقن من حلاله.,7 jours d'alimentation ascétique,"Pendant une semaine, mangez seulement ce dont vous êtes certain de la licéité."
challenge-stomach-waste-01,stomach,food_waste,1,easy,Clear Your Plate,"Today, waste no food. Take what you can eat and finish it all.",Clear Your Plate,"Today, waste no food. Take what you can eat and finish it all.",Clear Your Plate,"Today, waste no food. Take what you can eat and finish it all."
challenge-stomach-waste-02,stomach,food_waste,3,medium,3-Day Food Honour,"For 3 days, save all leftovers and reuse them. Do not throw away edible food.",تكريم الطعام لمدة 3 أيام,لمدة 3 أيام، أكرم كل قطعة طعام ولا تضيع شيئاً.,Honneur alimentaire de 3 jours,"Pendant 3 jours, honorez chaque morceau de nourriture et ne gaspillez rien."
challenge-stomach-waste-03,stomach,food_waste,7,medium,7-Day Anti-Waste Audit,Track and reduce food waste for a week. Compost or donate when you can.,مراجعة مكافحة الإسراف لمدة 7 أيام,لمدة أسبوع، راجع عاداتك الغذائية وتجنب الإسراف.,Audit anti-gaspillage de 7 jours,"Pendant une semaine, examinez vos habitudes alimentaires et évitez le gaspillage."
challenge-stomach-emotional-01,stomach,emotional_eating,1,easy,Ask Before You Snack,"Before eating, ask: Am I hungry or just restless? Answer honestly today.",اسأل قبل أن تتناول وجبة خفيفة,اليوم، اسأل نفسك 'هل أنا جائع حقاً؟' قبل كل وجبة خفيفة.,Demandez avant de grignoter,"Aujourd'hui, demandez-vous 'Ai-je vraiment faim?' avant chaque collation."
challenge-stomach-emotional-02,stomach,emotional_eating,3,medium,3-Day Intent Tracker,Write down every time you eat emotionally over the next 3 days. Reflect honestly.,متتبع النية لمدة 3 أيام,لمدة 3 أيام، تتبع نيتك وراء كل وجبة.,Traceur d'intention de 3 jours,"Pendant 3 jours, suivez votre intention derrière chaque repas."
challenge-stomach-emotional-03,stomach,emotional_eating,7,medium,7 Days of Soul Nourishment,"Turn emotional hunger into spiritual practice. Pray, journal, or breathe before snacking.",7 أيام من تغذية الروح,لمدة أسبوع، اطعم روحك بالذكر والقرآن أكثر من طعام الجسد.,7 jours de nourriture de l'âme,"Pendant une semaine, nourrissez votre âme avec le dhikr et le Coran plus que la nourriture du corps."
challenge-stomach-intention-01,stomach,neglecting_intention,1,easy,Say Bismillah,"Before every meal today, say 'Bismillah' and intend to strengthen yourself for good deeds.",قل بسم الله,قل بسم الله قبل كل وجبة وشراب اليوم.,Dites Bismillah,Dites Bismillah avant chaque repas et boisson aujourd'hui.
challenge-stomach-intention-02,stomach,neglecting_intention,3,medium,3-Day Du'a Habit,Make du'a before and after meals for 3 days. Let eating be worship.,عادة الدعاء لمدة 3 أيام,لمدة 3 أيام، اجعل الدعاء قبل وبعد الأكل عادة.,Habitude de du'a de 3 jours,"Pendant 3 jours, faites de la du'a avant et après les repas une habitude."
challenge-stomach-intention-03,stomach,neglecting_intention,7,medium,7-Day Sacred Eating,Eat with full presence and gratitude. Remember Allah at the start and end of every meal.,7 أيام من الأكل المقدس,لمدة أسبوع، اجعل كل وجبة عبادة بالنية والدعاء.,7 jours d'alimentation sacrée,"Pendant une semaine, faites de chaque repas un acte d'adoration avec intention et du'a."
challenge-tongue-lying-01,tongue,lying,1,easy,No Lies for 24 Hours,Make it through one full day without a single lie — not even a small one.,لا كذب لمدة 24 ساعة,اجتز يوماً كاملاً دون كذبة واحدة — ولا حتى صغيرة.,Pas de mensonges pendant 24 heures,Passez une journée complète sans un seul mensonge — pas même un petit.
challenge-tongue-lying-02,tongue,lying,1,easy,Truth Audit,"Before sleeping, review your conversations. Were you fully honest? Reflect and write in your journal.",مراجعة الصدق,قبل النوم، راجع محادثاتك. هل كنت صادقاً تماماً؟ تأمل واكتب في يومياتك.,Audit de vérité,"Avant de dormir, passez en revue vos conversations. Avez-vous été entièrement honnête? Réfléchissez et écrivez dans votre journal."
challenge-tongue-lying-03,tongue,lying,1,easy,Correct a Past Lie,Reach out to someone and correct something dishonest you've said before. Seek Allah's forgiveness.,صحح كذبة سابقة,تواصل مع شخص وصحح شيئاً غير صادق قلته من قبل. اطلب مغفرة الله.,Corrigez un mensonge passé,Contactez quelqu'un et corrigez quelque chose de malhonnête que vous avez dit auparavant. Demandez le pardon d'Allah.
challenge-tongue-backbiting-01,tongue,backbiting,1,easy,Leave the Room (Literally or Virtually),"If someone starts backbiting, remove yourself — respectfully. One-time challenge.",اترك الغرفة (حرفياً أو افتراضياً),إذا بدأ أحد بالغيبة، اخرج من المكان — باحترام. تحدي لمرة واحدة.,Quittez la pièce (littéralement ou virtuellement),"Si quelqu'un commence à médire, retirez-vous — respectueusement. Défi unique."
challenge-tongue-backbiting-02,tongue,backbiting,1,easy,Defend Their Honour,Say one good thing about someone being backbitten. Flip the tone of the conversation.,ادافع عن شرفهم,قل شيئاً جيداً عن شخص يُغتاب. اعكس نبرة المحادثة.,Défendez leur honneur,Dites quelque chose de bien sur quelqu'un qui est médisant. Changez le ton de la conversation.
challenge-tongue-backbiting-03,tongue,backbiting,1,easy,Fast From Gossip,"For the next 3 hours, no gossip. No stories about anyone else. See how long you can last.",صيام من النميمة,للثلاث ساعات القادمة، لا نميمة. لا قصص عن أي شخص آخر. انظر كم من الوقت يمكنك الصمود.,Jeûne des commérages,"Pour les 3 prochaines heures, pas de ragots. Pas d'histoires sur qui que ce soit d'autre. Voyez combien de temps vous pouvez tenir."
challenge-tongue-slander-01,tongue,slander,1,easy,Pause Before You Speak,"Any time you speak today, pause for 3 seconds before repeating something about someone else.",توقف قبل أن تتكلم,اليوم، توقف وفكر قبل أن تقول أي شيء قد يضر بسمعة شخص.,Pause avant de parler,"Aujourd'hui, arrêtez-vous et réfléchissez avant de dire quoi que ce soit qui pourrait nuire à la réputation de quelqu'un."
challenge-tongue-slander-02,tongue,slander,1,easy,Delete the Message,"Delete a message or post that could misrepresent someone, even slightly. Don't spread doubt.",احذف الرسالة,إذا كتبت رسالة غاضبة أو قاسية اليوم، احذفها بدلاً من إرسالها.,Supprimez le message,"Si vous écrivez un message en colère ou dur aujourd'hui, supprimez-le au lieu de l'envoyer."
challenge-tongue-slander-03,tongue,slander,1,easy,Say 'I Don't Know',"When unsure, say 'I don't know' today. Resist the urge to fill gaps with assumptions.",قل 'لا أعرف',اليوم، إذا سئلت عن شيء لا تعرفه، قل 'لا أعرف' بدلاً من التخمين.,Dites 'Je ne sais pas',"Aujourd'hui, si on vous demande quelque chose que vous ne savez pas, dites 'Je ne sais pas' au lieu de deviner."
challenge-tongue-mockery-01,tongue,mockery,1,easy,Be the Gentle One,"Speak kindly today. Avoid all sarcasm, imitations, and subtle mocking.",كن الشخص اللطيف,اليوم، كن الشخص الذي يهدئ الموقف بدلاً من السخرية.,Soyez la personne douce,"Aujourd'hui, soyez la personne qui calme la situation au lieu de se moquer."
challenge-tongue-mockery-02,tongue,mockery,1,easy,Silent Smile,"Today, when tempted to joke at someone's expense — smile instead. Let it pass.",ابتسامة صامتة,اليوم، رد على الإهانة بابتسامة صامتة وادع للشخص في قلبك.,Sourire silencieux,"Aujourd'hui, répondez à l'insulte par un sourire silencieux et priez pour la personne dans votre cœur."
challenge-tongue-mockery-03,tongue,mockery,1,easy,Compliment the One You Mock,"Think of someone you've mocked. Privately make dua for them. Optionally, offer praise to their face.",امدح من تسخر منه,لمدة أسبوعين، امدح شخصاً بدلاً من السخرية منه.,Complimentez celui dont vous vous moquez,"Pendant deux semaines, complimentez quelqu'un au lieu de vous moquer de lui."
challenge-tongue-idle-01,tongue,idle,1,easy,Three Sacred Silences,"For today, find 3 moments to consciously be silent when you would normally speak unnecessarily.",ثلاثة صمت مقدسة,اليوم، التزم الصمت في ثلاث مناسبات حيث كنت ستتكلم بلا فائدة.,Trois silences sacrés,"Aujourd'hui, gardez le silence dans trois occasions où vous auriez parlé sans utilité."
challenge-tongue-idle-02,tongue,idle,7,medium,Intentional Speech Week,"For 7 days, try to speak only when you have clear purpose or benefit. Reflect at day's end.",أسبوع الكلام المقصود,لمدة أسبوع، تكلم فقط عندما يكون لكلامك فائدة واضحة.,Semaine de parole intentionnelle,"Pendant une semaine, parlez seulement quand vos paroles ont un bénéfice clair."
challenge-tongue-idle-03,tongue,idle,3,medium,Silent Mornings,"For the next 3 days, remain silent after Fajr until breakfast unless necessary.",صباح صامت,اليوم، ابدأ صباحك بساعة من الصمت والتأمل.,Matins silencieux,"Aujourd'hui, commencez votre matinée par une heure de silence et de réflexion."
challenge-tongue-flattery-01,tongue,false_praise,1,easy,Truthful Compliments Only,"Today, only give compliments you mean. No flattery. No exaggeration.",مجاملات صادقة فقط,اليوم، قل فقط المجاملات الصادقة والصحيحة.,Compliments véridiques seulement,"Aujourd'hui, ne dites que des compliments sincères et vrais."
challenge-tongue-flattery-02,tongue,false_praise,7,medium,Authenticity Practice – 7 Days,Avoid insincere compliments or strategic praise for 7 days. Honour truth in every word.,ممارسة الأصالة - 7 أيام,لمدة 7 أيام، كن صادقاً في مدحك وتجنب المجاملات المفرطة.,Pratique d'authenticité - 7 jours,"Pendant 7 jours, soyez sincère dans vos éloges et évitez les flatteries excessives."
challenge-tongue-flattery-03,tongue,false_praise,14,hard,14-Day Praise Cleanse,"For 14 days, be mindful of any praise you offer. Let it be genuine and spiritually safe.",تطهير المدح لمدة 14 يوماً,لمدة أسبوعين، طهر مدحك من المجاملات الفارغة.,Nettoyage d'éloge de 14 jours,"Pendant deux semaines, purifiez vos éloges des compliments vides."
challenge-tongue-secrets-01,tongue,exposing_secrets,1,easy,Zip the Lips,Do not reveal anything personal you know about others for 24 hours. Not even hints.,اقفل شفتيك,اليوم، التزم الصمت عندما تشعر بالرغبة في قول شيء سلبي.,Fermez les lèvres,"Aujourd'hui, restez silencieux quand vous ressentez l'envie de dire quelque chose de négatif."
challenge-tongue-secrets-02,tongue,exposing_secrets,7,medium,Safeguard the Trust,"For 7 days, reflect on whether you speak from trust. Record slips and ask Allah for restraint.",احفظ الأمانة,اليوم، احفظ كل أمانة وسر أوكل إليك.,Protégez la confiance,"Aujourd'hui, protégez chaque confiance et secret qui vous est confié."
challenge-tongue-secrets-03,tongue,exposing_secrets,3,medium,Honour the Private,"If you've recently shared something private, contact that person to affirm your trust.",أكرم الخاص,اليوم، احترم خصوصية الآخرين ولا تفشِ أسرارهم.,Honorez le privé,"Aujourd'hui, respectez la vie privée des autres et ne révélez pas leurs secrets."
challenge-tongue-vulgar-01,tongue,vulgarity,1,easy,Refined Language Day,"No swearing, rough words, or aggressive tone for 24 hours. Use words of mercy and dignity.",يوم اللغة المهذبة,اليوم، استخدم لغة مهذبة ونظيفة في كل محادثاتك.,Jour de langage raffiné,"Aujourd'hui, utilisez un langage raffiné et propre dans toutes vos conversations."
challenge-tongue-vulgar-02,tongue,vulgarity,7,medium,Speak Like a Believer – 7 Days,"For a full week, monitor your speech tone and purity. Use reminders and daily du'a for control.",تكلم كالمؤمن - 7 أيام,لمدة 7 أيام، اجعل كلامك يليق بالمؤمن.,Parlez comme un croyant - 7 jours,"Pendant 7 jours, faites que votre discours convienne à un croyant."
challenge-tongue-vulgar-03,tongue,vulgarity,14,hard,14-Day Clean Speech Reset,"Avoid all profanity, innuendo, or hostile tone for 14 days. Let your words carry the fragrance of mercy.",إعادة تعيين الكلام النظيف لمدة 14 يوماً,لمدة أسبوعين، اعيد تعيين لغتك إلى الكلام النظيف والطاهر.,Réinitialisation du discours propre de 14 jours,"Pendant deux semaines, réinitialisez votre langage vers un discours propre et pur."
challenge-tongue-arguing-01,tongue,arguing,1,easy,Let It Go (Once),Walk away from one argument today — even if you're right. Choose peace over ego.,اتركها (مرة واحدة),اليوم، اترك شيئاً واحداً كان يؤذيك واعف عنه.,Laissez tomber (une fois),"Aujourd'hui, laissez tomber une chose qui vous blessait et pardonnez-la."
challenge-tongue-arguing-02,tongue,arguing,7,medium,7 Days of Calm Speech,Refrain from raising your voice or arguing for 7 days. Choose stillness over combativeness.,7 أيام من الكلام الهادئ,لمدة أسبوع، تكلم بهدوء وتجنب الجدال.,7 jours de parole calme,"Pendant une semaine, parlez calmement et évitez les disputes."
challenge-tongue-arguing-03,tongue,arguing,14,hard,14-Day Dispute Detox,"Avoid all disputes — verbal, online, or passive-aggressive — for 14 days. Replace with du'a.",تخلص من الجدال لمدة 14 يوماً,لمدة أسبوعين، تجنب الجدال والمناقشات العقيمة.,Détox de dispute de 14 jours,"Pendant deux semaines, évitez les disputes et les discussions stériles."
challenge-zina-flirt-01,zina,flirtatious_speech,1,easy,Guard Your Words,"Today, avoid flirtatious or suggestive language in all conversations — online or in person.",احرس كلماتك,اليوم، تجنب اللغة المغازلة أو الموحية في جميع المحادثات — على الإنترنت أو وجهاً لوجه.,Gardez vos mots,"Aujourd'hui, évitez le langage flirteur ou suggestif dans toutes les conversations — en ligne ou en personne."
challenge-zina-flirt-02,zina,flirtatious_speech,3,medium,3-Day Speech Purity,Speak respectfully and modestly for 3 days. Avoid playful messaging that crosses limits.,طهارة الكلام لمدة 3 أيام,تحدث باحترام وتواضع لمدة 3 أيام. تجنب الرسائل المرحة التي تتجاوز الحدود.,Pureté de parole de 3 jours,Parlez respectueusement et modestement pendant 3 jours. Évitez les messages ludiques qui dépassent les limites.
challenge-zina-flirt-03,zina,flirtatious_speech,7,medium,7-Day Messaging Cleanse,Avoid texting or speaking with romantic intent to anyone outside of marriage for 7 days.,تطهير الرسائل لمدة 7 أيام,لمدة أسبوع، طهر رسائلك من كل ما يثير الفتنة.,Nettoyage de messagerie de 7 jours,"Pendant une semaine, purifiez vos messages de tout ce qui éveille la tentation."
challenge-zina-privacy-01,zina,private_contact,1,easy,Respect Personal Boundaries,Do not place yourself in a one-on-one private setting with a non-mahram today.,احترم الحدود الشخصية,لا تضع نفسك في إطار خاص وجهاً لوجه مع غير محرم اليوم.,Respectez les limites personnelles,Ne vous placez pas dans un cadre privé en tête-à-tête avec un non-mahram aujourd'hui.
challenge-zina-privacy-02,zina,private_contact,3,medium,3-Day Halwa Barrier,"Avoid all private, unsupervised contact with the opposite gender for 3 days.",حاجز الخلوة لمدة 3 أيام,لمدة 3 أيام، تجنب الخلوة مع الأجانب.,Barrière d'intimité de 3 jours,"Pendant 3 jours, évitez l'intimité avec les étrangers."
challenge-zina-privacy-03,zina,private_contact,7,medium,7 Days of Honour,Protect your dignity and that of others by avoiding any risky proximity for 7 days.,7 أيام من الشرف,لمدة أسبوع، احتفظ بشرفك وتجنب المواقف المشبوهة.,7 jours d'honneur,"Pendant une semaine, préservez votre honneur et évitez les situations suspectes."
challenge-zina-media-01,zina,romantic_media,1,easy,Skip the Scene,"Today, fast-forward or avoid any sexualised scene in shows, music, or books.",تجاهل المشهد,اليوم، تسريع أو تجنب أي مشهد جنسي في البرامج أو الموسيقى أو الكتب.,Ignorez la scène,"Aujourd'hui, avancez rapidement ou évitez toute scène sexualisée dans les émissions, la musique ou les livres."
challenge-zina-media-02,zina,romantic_media,3,medium,3-Day Content Reset,"Avoid all romantic or sensual entertainment — music, video, novels — for 3 days.",إعادة تعيين المحتوى لمدة 3 أيام,لمدة 3 أيام، اعيد تعيين المحتوى الذي تستهلكه إلى الحلال.,Réinitialisation du contenu de 3 jours,"Pendant 3 jours, réinitialisez le contenu que vous consommez vers le halal."
challenge-zina-media-03,zina,romantic_media,7,medium,7-Day Desire Detox,"Cleanse your media intake. Focus on modest, inspiring content only for 7 days.",تخلص من الرغبة لمدة 7 أيام,لمدة أسبوع، تخلص من المحتوى الذي يثير الرغبات المحرمة.,Détox de désir de 7 jours,"Pendant une semaine, éliminez le contenu qui éveille les désirs interdits."
challenge-zina-fantasy-01,zina,fantasising,1,easy,Shift the Thought,"Today, when a lustful thought arises, immediately make dhikr or say a du'a of protection.",غير الفكرة,اليوم، كلما جاءتك فكرة سيئة، غيرها إلى فكرة طيبة.,Changez la pensée,"Aujourd'hui, chaque fois qu'une mauvaise pensée vous vient, changez-la en une bonne pensée."
challenge-zina-fantasy-02,zina,fantasising,3,medium,3-Day Mind Rewire,Actively replace indecent thoughts with thoughts of Jannah or death for 3 days.,إعادة توصيل العقل لمدة 3 أيام,لمدة 3 أيام، اعيد توصيل أفكارك نحو الطهارة.,Reconnexion mentale de 3 jours,"Pendant 3 jours, reconnectez vos pensées vers la pureté."
challenge-zina-fantasy-03,zina,fantasising,7,medium,7 Days of Thought Control,Guard your inner gaze. Monitor your thoughts and redirect temptations all week.,7 أيام من السيطرة على الأفكار,لمدة أسبوع، تحكم في أفكارك وتجنب الخيالات المحرمة.,7 jours de contrôle des pensées,"Pendant une semaine, contrôlez vos pensées et évitez les fantasmes interdits."
challenge-zina-social-01,zina,social_media,1,easy,Unfollow Temptation,"Today, unfollow any account that tempts you toward lust or comparison.",إلغاء متابعة الإغراء,اليوم، ألغ متابعة حساب أو مصدر يثير فيك الرغبات المحرمة.,Arrêtez de suivre la tentation,"Aujourd'hui, arrêtez de suivre un compte ou une source qui éveille en vous des désirs interdits."
challenge-zina-social-02,zina,social_media,3,medium,3-Day Scroll Purity,"For the next 3 days, limit screen time and avoid apps that encourage visual temptation.",طهارة التصفح لمدة 3 أيام,لمدة 3 أيام، تصفح وسائل التواصل بطهارة.,Pureté de défilement de 3 jours,"Pendant 3 jours, naviguez sur les réseaux sociaux avec pureté."
challenge-zina-social-03,zina,social_media,7,medium,7-Day Social Reset,Detox your digital space. Only allow feeds that remind you of modesty and sincerity.,إعادة تعيين وسائل التواصل لمدة 7 أيام,لمدة أسبوع، اعيد تعيين استخدامك لوسائل التواصل.,Réinitialisation sociale de 7 jours,"Pendant une semaine, réinitialisez votre utilisation des réseaux sociaux."
challenge-zina-companionship-01,zina,unlawful_relationship,1,easy,Cut the Thread,Mute or archive one chat that you know leads you to sin. Give yourself space today.,اقطع الخيط,اليوم، اقطع التواصل مع شخص يجرك إلى المعصية.,Coupez le fil,"Aujourd'hui, coupez la communication avec quelqu'un qui vous entraîne vers le péché."
challenge-zina-companionship-02,zina,unlawful_relationship,3,medium,3-Day Boundaries,Avoid replying or initiating flirtatious contact with any non-mahram for 3 days.,حدود لمدة 3 أيام,لمدة 3 أيام، ضع حدوداً واضحة في علاقاتك.,Limites de 3 jours,"Pendant 3 jours, établissez des limites claires dans vos relations."
challenge-zina-companionship-03,zina,unlawful_relationship,7,medium,7-Day Exit Strategy,Begin planning to end any illicit relationship. Make istighfar and write your intention.,استراتيجية الخروج لمدة 7 أيام,لمدة أسبوع، ضع استراتيجية للخروج من العلاقات المحرمة.,Stratégie de sortie de 7 jours,"Pendant une semaine, développez une stratégie pour sortir des relations interdites."
challenge-zina-hopelessness-01,zina,hopelessness,1,easy,Du'a of Hope,Read or listen to the du'a of Yunus (as) today. Reflect on its power to lift shame.,دعاء الأمل,اليوم، ادع دعاء الأمل والتوبة من القلب.,Du'a d'espoir,"Aujourd'hui, faites une du'a d'espoir et de repentir du cœur."
challenge-zina-hopelessness-02,zina,hopelessness,3,medium,3-Day Mercy Reminder,Repeat daily: 'Allah's mercy is greater than my sin.' Make sincere du'a each day.,تذكرة الرحمة لمدة 3 أيام,لمدة 3 أيام، تذكر رحمة الله وأنه يقبل التوبة.,Rappel de miséricorde de 3 jours,"Pendant 3 jours, rappelez-vous la miséricorde d'Allah et qu'Il accepte le repentir."
challenge-zina-hopelessness-03,zina,hopelessness,7,medium,7 Days of Returning,"For 7 days, pray 2 rak'at of tawbah and write one reflection on healing and hope.",7 أيام من العودة,لمدة أسبوع، عد إلى الله بالتوبة والاستغفار.,7 jours de retour,"Pendant une semaine, revenez à Allah avec repentir et demande de pardon."
